PC1	PC2	PC3	PC4	group	compartment
NipWtLsR05	0.347426462046215	0.115316733758889	-0.0201740696351225	-0.0481727659176099	Nip-WT	Rt_WT
NipWtLsR06	0.350373370108299	0.227840841648923	-0.0335730352785446	-0.0783479634638421	Nip-WT	Rt_WT
NipWtLsR07	0.377355842437226	0.161902152917729	-0.0149644326215447	-0.025979662543902	Nip-WT	Rt_WT
NipWtLsR08	0.308033722812306	0.175586776111346	-0.0151549037938648	0.0144255386857767	Nip-WT	Rt_WT
NipWtLsR09	0.357566715011806	0.119217442686241	0.0232148413608067	0.0262679420942484	Nip-WT	Rt_WT
NipWtLsR10	0.335449132796797	0.120653377687886	-0.00352402394659729	-0.00221499110911938	Nip-WT	Rt_WT
NipWtLsR11	0.381607652192793	0.0356491246669909	0.00878573048948608	-0.012282484269406	Nip-WT	Rt_WT
NipWtLsR12	0.346212309726792	0.0856100525358724	-0.00167702159966968	-0.0209547209849278	Nip-WT	Rt_WT
NipWtLsR13	0.359431795303807	0.121229468273356	-0.00534140491917879	-0.0814450547083323	Nip-WT	Rt_WT
NipWtLsR14	0.359059234603132	0.138860401134239	0.0170600702822872	0.0905809562553948	Nip-WT	Rt_WT
NipWtLsR15	0.323434533157608	0.247506777186543	-0.042706700804005	-0.117730627865742	Nip-WT	Rt_WT
NipWtLsRs01	-0.337405105450789	0.0233792864639842	-0.0395954634367025	0.0526884723486665	Nip-WT	Rs_WT
NipWtLsRs02	-0.350083307145631	0.0102819577757028	-0.0670343104909833	0.0344419291015296	Nip-WT	Rs_WT
NipWtLsRs03	-0.362466379194179	0.0450001826597576	0.0940271905851087	-0.0328956244708515	Nip-WT	Rs_WT
NipWtLsRs04	-0.29757007962588	0.046234306484663	0.0269810107212363	0.0166864351029552	Nip-WT	Rs_WT
NipWtLsRs05	-0.30890580306989	0.0541814683768552	0.0857799137564469	-0.0174906683435434	Nip-WT	Rs_WT
NipWtLsRs06	-0.264793755756465	0.0374227424689633	0.130217067608673	-0.0452400578893043	Nip-WT	Rs_WT
NipWtLsRs07	-0.348910208999165	0.0426799036934549	0.0961228558057644	-0.0438636138376901	Nip-WT	Rs_WT
NipWtLsRs08	-0.293252320495157	0.0468420265088727	0.0199546668261897	-0.0211993910597717	Nip-WT	Rs_WT
NipWtLsRs09	-0.221934675089733	0.0361270190017757	0.0187001698018489	0.0448638648979659	Nip-WT	Rs_WT
NipWtLsRs10	-0.329764038122973	0.0211302836629149	0.0121844526093207	0.0081298574564091	Nip-WT	Rs_WT
NipWtLsRs11	-0.26683366270018	0.0144265690418924	0.0360584784568514	0.00719290938200171	Nip-WT	Rs_WT
NipWtLsRs12	-0.319647834436228	0.0235944096875545	0.120772558440277	-0.0457413971410904	Nip-WT	Rs_WT
NipWtLsRs13	-0.320854735337821	0.0485472807335959	0.0893907032462297	-0.0585787589437642	Nip-WT	Rs_WT
NipWtLsRs14	-0.329493707532767	0.0322574040236761	0.0495207664857044	-0.00544464328926141	Nip-WT	Rs_WT
NipWtLsRs15	-0.227312028990463	0.0134875551925238	0.0409863937773035	0.0082594427282346	Nip-WT	Rs_WT
JmjMutLsRs01	-0.352034817301245	0.0184688221140877	0.0961000419521265	-0.0540352290974467	DJ-jmj703	Rs_Mut
JmjMutLsRs02	-0.35162873259201	0.0221941358705653	0.0890299889428	-0.0323592373756593	DJ-jmj703	Rs_Mut
JmjMutLsRs03	-0.355791612158027	-0.00541477267434106	0.00325345930626195	0.0232370940984111	DJ-jmj703	Rs_Mut
JmjMutLsRs04	-0.242646328918647	0.045911998020462	0.0508106275781466	0.0249925031190317	DJ-jmj703	Rs_Mut
JmjMutLsRs05	-0.280482843577953	0.0142774128372566	0.0248543108588664	0.0286241118912541	DJ-jmj703	Rs_Mut
JmjMutLsRs06	-0.324452677289255	0.0347573171503977	0.0720597702118384	-0.033186512984353	DJ-jmj703	Rs_Mut
JmjMutLsRs07	-0.355060238518203	0.0148592535871883	-0.032485165780267	0.022295411221644	DJ-jmj703	Rs_Mut
JmjMutLsRs08	-0.343891820814453	0.0218663806111567	0.0289839700423614	0.0268993762007811	DJ-jmj703	Rs_Mut
JmjMutLsRs09	-0.332912342749844	0.000287579051702432	0.105924574171442	-0.0444184722161351	DJ-jmj703	Rs_Mut
JmjMutLsRs10	-0.336830172515451	-0.0056912153467938	-0.0860760282760068	0.0386995211866609	DJ-jmj703	Rs_Mut
JmjMutLsRs11	-0.322099249434319	-0.0354162807612152	-0.154049825349077	0.07622943794452	DJ-jmj703	Rs_Mut
JmjMutLsRs12	-0.300809289161011	0.0661318552072798	0.0955857571373903	-0.0481039402733328	DJ-jmj703	Rs_Mut
JmjMutLsRs13	-0.317798903059284	-4.98073301198351e-05	0.00380901554728619	0.030413078796502	DJ-jmj703	Rs_Mut
JmjMutLsRs14	-0.274205074158736	-0.0179382747117566	-0.0569417351333141	0.0767288363454035	DJ-jmj703	Rs_Mut
JmjMutLsRs15	-0.349970493556291	0.00348599763669701	0.0790909095378557	-0.0184663401297877	DJ-jmj703	Rs_Mut
JmjMutLsR01	0.336563498242255	0.0682702741156812	0.03830407649959	0.0836187772605484	DJ-jmj703	Rt_Mut
JmjMutLsR02	0.342016553714968	-0.00327649882884297	0.0573760798246351	0.0363403878241812	DJ-jmj703	Rt_Mut
JmjMutLsR03	0.344189248349803	-0.0215586816633643	0.0515461725612573	0.06579403010963	DJ-jmj703	Rt_Mut
JmjMutLsR04	0.359564518142733	0.0595720711845751	0.0361769493927219	0.151690855227039	DJ-jmj703	Rt_Mut
JmjMutLsR05	0.337306869310267	0.0400766543283929	0.0422656940014916	0.0650388813246927	DJ-jmj703	Rt_Mut
JmjMutLsR06	0.341182524257334	-0.0760605371012104	0.0517568034536025	0.0699698708473496	DJ-jmj703	Rt_Mut
JmjMutLsR07	0.339687168554853	-0.0662376500194533	0.0340012004464348	0.127651049841301	DJ-jmj703	Rt_Mut
JmjMutLsR08	0.323402704936236	0.0127595870378163	0.037471445245176	0.0921377900663155	DJ-jmj703	Rt_Mut
JmjMutLsR09	0.335925869609002	-0.148953786734746	0.0508387983471598	0.0454341697748902	DJ-jmj703	Rt_Mut
JmjMutLsR10	0.349940893209239	-0.151278102279105	0.0310549178789045	0.13155174517736	DJ-jmj703	Rt_Mut
JmjMutLsR11	0.344603565898406	0.0237256163243313	0.0278433026742872	0.164228104724037	DJ-jmj703	Rt_Mut
JmjMutLsR12	0.359434726941821	0.0342007402793499	0.0212746181365973	0.0795624849758765	DJ-jmj703	Rt_Mut
JmjMutLsR13	0.349151020948008	-0.0412031669273273	0.0335798341710931	0.147086556152485	DJ-jmj703	Rt_Mut
JmjMutLsR14	0.338518257551172	-0.101501150159885	0.0336792572973673	0.123378416743824	DJ-jmj703	Rt_Mut
JmjMutLsR15	0.338111163161185	0.034841417411735	0.0142037180681482	-0.00507274546407044	DJ-jmj703	Rt_Mut
SdgMut1LsRs01	-0.3397946007271	-0.0205803140670125	0.102917570671758	-0.0575248442940237	ZH11-sdg714	Rs_Mut
SdgMut1LsRs02	-0.268081434687656	-0.0246368068031119	0.12607706095486	-0.0644832037598864	ZH11-sdg714	Rs_Mut
SdgMut1LsRs03	-0.311124913642642	-0.0569688971581223	-0.0272324077944915	0.00238018823781294	ZH11-sdg714	Rs_Mut
SdgMut1LsRs04	-0.247866348621312	-0.0839238866204553	0.0376251608858466	0.00869833899306449	ZH11-sdg714	Rs_Mut
SdgMut1LsRs05	-0.305155959902737	-0.0466748494890616	0.013404496104755	0.0202861212317132	ZH11-sdg714	Rs_Mut
SdgMut1LsRs06	-0.25822130965538	-0.0212747380521862	-0.0231665797563581	0.00623674413563579	ZH11-sdg714	Rs_Mut
SdgMut1LsRs07	-0.3395766105779	-0.0342245258103399	0.0136595554151256	-0.00244874313288026	ZH11-sdg714	Rs_Mut
SdgMut1LsRs08	-0.35204015376479	-0.0124074449271969	0.0541761584381541	-0.0252212304453943	ZH11-sdg714	Rs_Mut
SdgMut1LsRs09	-0.349224153267998	-0.0181230897190321	-0.0243144206727255	0.00866515211471969	ZH11-sdg714	Rs_Mut
SdgMut1LsRs10	-0.287068257231332	-0.0775865225299439	-0.0106668069704865	-0.00235665689487833	ZH11-sdg714	Rs_Mut
SdgMut1LsRs11	-0.347269031818736	-0.0045381006853405	0.0685795222498334	-0.056667884437053	ZH11-sdg714	Rs_Mut
SdgMut1LsRs12	-0.284298681329231	-0.0780295873129664	-0.0357867948935146	0.0177392247878096	ZH11-sdg714	Rs_Mut
SdgMut1LsRs13	-0.310785255715552	-0.0804815033281107	-0.156836046464358	0.043110535536683	ZH11-sdg714	Rs_Mut
SdgMut1LsRs14	-0.297837492622071	-0.064230546892362	-0.0213718159868382	0.0130701723936463	ZH11-sdg714	Rs_Mut
SdgMut1LsRs15	-0.358237332094302	-0.0299188134653269	0.00200197527019875	-0.0300244639662839	ZH11-sdg714	Rs_Mut
SdgMut2LsRs01	-0.365490543812298	-0.0299814762592124	-0.0115346479632038	-0.0150003338305255	ZH11-sdg714	Rs_Mut
SdgMut2LsRs02	-0.354203928603874	-0.0565407701729432	-0.0709377338695952	0.00200227046423313	ZH11-sdg714	Rs_Mut
SdgMut2LsRs03	-0.308019212105739	-0.0617074170076479	0.0104967822315951	-0.00244696711311582	ZH11-sdg714	Rs_Mut
SdgMut2LsRs04	-0.292110164041359	0.0224669827371864	0.0417898320579219	-0.0689320450156347	ZH11-sdg714	Rs_Mut
SdgMut2LsRs05	-0.311930848141647	-0.0383359411026485	0.067114026991447	-0.0584634979167097	ZH11-sdg714	Rs_Mut
SdgMut2LsRs06	-0.282342071362397	-0.0334794526134188	0.0573917497999617	-0.024537069666445	ZH11-sdg714	Rs_Mut
SdgMut2LsRs07	-0.323603722620768	-0.0286471129346103	0.00152624246874442	0.00158499495403468	ZH11-sdg714	Rs_Mut
SdgMut2LsRs08	-0.337703877731657	-0.00513574485524034	0.0867841645947548	-0.0543750450709323	ZH11-sdg714	Rs_Mut
SdgMut2LsRs09	-0.280995276327795	-0.0500700787454642	-0.0388773256546891	0.017317145632077	ZH11-sdg714	Rs_Mut
SdgMut2LsRs10	-0.316400070440066	-0.069191200336097	-0.073722374880437	-0.00133883861248189	ZH11-sdg714	Rs_Mut
SdgMut2LsRs11	-0.328999021382419	-0.0224354270545905	-0.00597803743134772	-0.0134765509168225	ZH11-sdg714	Rs_Mut
SdgMut2LsRs12	-0.285398892749887	-0.0218053118564691	0.00897209856185689	0.023489599981622	ZH11-sdg714	Rs_Mut
SdgMut2LsRs13	-0.302570683216355	-0.0613149749351072	0.0514902937630142	-0.0172218252399625	ZH11-sdg714	Rs_Mut
SdgMut2LsRs14	-0.293644942322422	-0.0168352789348875	0.0202496667368288	0.0199160188500548	ZH11-sdg714	Rs_Mut
SdgMut2LsRs15	-0.336481005501718	-0.0368273595192597	-0.0461726179034804	0.0178147244792657	ZH11-sdg714	Rs_Mut
SdgMut1LsR01	0.284987494406413	-0.275122078287522	0.00447536158441412	-0.107564291515832	ZH11-sdg714	Rt_Mut
SdgMut1LsR02	0.331085049524469	-0.180166986872078	0.00289602164235269	-0.0144282530845892	ZH11-sdg714	Rt_Mut
SdgMut1LsR03	0.270367560617502	-0.22449242374911	-0.00787547597083015	-0.148456613246694	ZH11-sdg714	Rt_Mut
SdgMut1LsR04	0.294603214316056	-0.299557113742156	-0.0119151776306021	-0.0854523615295117	ZH11-sdg714	Rt_Mut
SdgMut1LsR05	0.321040893674232	-0.119296825226834	0.0547790130533496	0.0849583452029721	ZH11-sdg714	Rt_Mut
SdgMut1LsR06	0.34732188065182	-0.0740684382043615	-0.0214668872834491	-0.114688854043349	ZH11-sdg714	Rt_Mut
SdgMut1LsR07	0.321803703274178	-0.24901903443832	0.00314460888069031	-0.0564740053076393	ZH11-sdg714	Rt_Mut
SdgMut1LsR08	0.271102079686535	-0.301330681347452	-0.0155634121892067	-0.108093803268674	ZH11-sdg714	Rt_Mut
SdgMut1LsR09	0.335818440024368	-0.197546076506255	0.00827287592537438	-0.106518991542704	ZH11-sdg714	Rt_Mut
SdgMut1LsR10	0.314585711505815	-0.189636301472723	-0.00449275896093086	-0.0815001718602515	ZH11-sdg714	Rt_Mut
SdgMut1LsR11	0.331589714164422	-0.118764629149982	0.0314684978015462	0.0641381030166993	ZH11-sdg714	Rt_Mut
SdgMut1LsR12	0.306776655644512	-0.224304801469738	0.00544710574989525	-0.00989640283229561	ZH11-sdg714	Rt_Mut
SdgMut1LsR13	0.266713307412385	-0.218375071683297	-0.0345525052212833	-0.101193277201371	ZH11-sdg714	Rt_Mut
SdgMut1LsR14	0.262534762034289	-0.288415596410017	-0.0184963414718981	-0.0565301676509898	ZH11-sdg714	Rt_Mut
SdgMut1LsR15	0.245646097294792	-0.331643447746186	-0.0131394604157783	-0.13395486693343	ZH11-sdg714	Rt_Mut
SdgMut2LsR01	0.295167955760481	-0.276677839756613	-0.0332407847872493	-0.145771286830445	ZH11-sdg714	Rt_Mut
SdgMut2LsR02	0.180255597567439	-0.27401257175915	-0.04000693811059	-0.076466577065789	ZH11-sdg714	Rt_Mut
SdgMut2LsR03	0.274115999410028	-0.291588666828913	-0.0256265127859075	-0.133714323979131	ZH11-sdg714	Rt_Mut
SdgMut2LsR04	0.3239735103873	-0.220434712988743	0.00319007755380142	-0.0748853967455983	ZH11-sdg714	Rt_Mut
SdgMut2LsR05	0.262671488335875	-0.310268581404919	-0.0348393608222166	-0.126451480467049	ZH11-sdg714	Rt_Mut
SdgMut2LsR06	0.294935081930702	-0.251364573360667	-0.00355657781480252	-0.00746186035377992	ZH11-sdg714	Rt_Mut
SdgMut2LsR07	0.314078832764428	-0.154735044366823	-0.0266067100906385	-0.0456731082261896	ZH11-sdg714	Rt_Mut
SdgMut2LsR08	0.272975997622926	-0.204259781827969	-0.0323774512253663	-0.158427733481448	ZH11-sdg714	Rt_Mut
SdgMut2LsR09	0.269094669586125	-0.216674832652458	-0.0545223708081859	-0.132456765134176	ZH11-sdg714	Rt_Mut
SdgMut2LsR10	0.245316601594615	-0.258756738834667	-0.0229249551996997	-0.125127443159303	ZH11-sdg714	Rt_Mut
SdgMut2LsR11	0.225834639332454	-0.188763458524278	-0.0387244473479973	-0.172379180834334	ZH11-sdg714	Rt_Mut
SdgMut2LsR12	0.276464338556111	-0.141950464641736	-0.0569966189580173	-0.0407915885023225	ZH11-sdg714	Rt_Mut
SdgMut2LsR13	0.302809258135807	-0.212464858041869	-0.00376439785028165	-0.023159114618216	ZH11-sdg714	Rt_Mut
SdgMut2LsR14	0.304482613719481	-0.234455664821968	-0.00419783901596346	0.00119776430013826	ZH11-sdg714	Rt_Mut
SdgMut2LsR15	0.290945884269631	-0.110650409524498	-0.0253665628199271	-0.110044223717878	ZH11-sdg714	Rt_Mut
DclMut1LsR01	0.378456806538418	-0.0211995237604518	0.0113916482645028	0.123065854587755	Nip-dcl3a-1	Rt_Mut
DclMut1LsR02	0.365168342686044	-0.0384737405207005	0.0197038719445438	0.164597509024797	Nip-dcl3a-1	Rt_Mut
DclMut1LsR03	0.371140951524286	0.0118599344418222	0.0204114414319659	-0.0399653847575486	Nip-dcl3a-1	Rt_Mut
DclMut1LsR04	0.371184009643302	0.147948317426348	-0.0150347371438646	-0.0237395063695675	Nip-dcl3a-1	Rt_Mut
DclMut1LsR05	0.343583209295409	0.00249372996010329	0.025727025871804	-0.101357920045664	Nip-dcl3a-1	Rt_Mut
DclMut1LsR06	0.377110513429743	-0.0181805174675825	0.00755970921565712	0.100024354800653	Nip-dcl3a-1	Rt_Mut
DclMut1LsR07	0.369017103548662	0.0298814925616568	0.0322584719490548	0.169468432904169	Nip-dcl3a-1	Rt_Mut
DclMut1LsR08	0.372013033614269	0.0434785973100979	0.00966109724454964	0.0875006347337005	Nip-dcl3a-1	Rt_Mut
DclMut1LsR09	0.331028271839701	0.131901146835676	0.0111315952307346	0.12405770258089	Nip-dcl3a-1	Rt_Mut
DclMut1LsR10	0.348215934658417	-0.0338213657019334	0.0519021185974659	0.102168664781476	Nip-dcl3a-1	Rt_Mut
DclMut1LsR11	0.369827919148639	-0.116499400595637	0.0344404847001079	0.043547210740439	Nip-dcl3a-1	Rt_Mut
DclMut1LsR12	0.353219338429837	-0.0463543974160191	0.0298011045624607	-0.0110839450547756	Nip-dcl3a-1	Rt_Mut
DclMut1LsR13	0.363963036882151	-0.0414126348454086	0.0245443997758164	0.140375249199327	Nip-dcl3a-1	Rt_Mut
DclMut1LsR14	0.383519566168634	0.0341782725122701	0.0435793923581531	0.105904868840838	Nip-dcl3a-1	Rt_Mut
DclMut1LsR15	0.353811980384562	-0.0650586231634	0.014407876708808	-0.0766773545842784	Nip-dcl3a-1	Rt_Mut
DclMut1LsRs01	-0.366466627157047	-0.0133978694413327	-0.0630490802118465	0.0428589148697215	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs02	-0.311739243711748	0.00193635230694403	0.00629900557688506	0.0313483342613938	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs03	-0.334568548503094	0.0190143137251783	0.120656415518113	-0.0390597042676416	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs04	-0.317536153559217	0.021715143990321	0.0383309131638726	0.00234466978714718	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs05	-0.328843469734857	-0.00853386821647591	0.0290404763988228	-0.00609807182366578	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs06	-0.333257050033273	0.0215183894025603	0.0522098944488255	0.0158721697971447	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs07	-0.288800444223931	0.0307301519017818	0.0748412368953507	0.00684697400001872	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs08	-0.223464585362881	-0.00937151784371201	0.0236070825952415	0.0654398770314212	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs09	-0.272594048521207	0.00993322260799925	-0.0974685063389664	0.0701900088903295	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs10	-0.301415814484012	0.0298604373175045	0.15311568259275	-0.0602758944560182	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs11	-0.344278504004232	0.018843058502555	0.109411846321475	-0.0570360643935576	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs12	-0.295429902594519	0.0151209479767589	0.100039932025551	-0.0272382799154783	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs13	-0.33670842042928	0.00780829068399512	-0.0189588934272473	0.0258145858445458	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs14	-0.27799068311264	0.0118465816789843	0.024804352975151	0.0235099652423983	Nip-dcl3a-1	Rs_Mut
DclMut1LsRs15	-0.28320104204079	-0.00291086558177545	0.138698626655045	-0.0440158351478725	Nip-dcl3a-1	Rs_Mut
DclMut2LsRs01	-0.344218599170191	0.0270830265761079	0.0937324249241411	-0.0323568378117876	Nip-dcl3a-3	Rs_Mut
DclMut2LsRs02	-0.368165264310147	0.0156457335642375	0.0376596377169735	-0.020973230157415	Nip-dcl3a-3	Rs_Mut
DclMut2LsRs03	-0.328802414796413	0.0242804895922582	0.0847054251769806	-0.0194789424092002	Nip-dcl3a-3	Rs_Mut
DclMut2LsRs04	-0.297537291911201	0.0256279652677062	0.0219240285316211	0.0444664070624342	Nip-dcl3a-3	Rs_Mut
